"";"full_id";"gender";"stadi1";"stadi2";"stadi3";"stadi4";"stadi5";"stadi6";"stadi7";"stadi8";"stadi9";"stadi10";"stadi11";"stadi12";"stadi13";"stadi14";"stadi15";"stadi16";"stadi17";"stadi18";"stadi19";"stadi20";"rse1";"rse2";"rse3";"rse4";"rse5";"rse6";"rse7";"rse8";"rse9";"rse10";"apq26";"apq28";"apq35";"apq40";"rse2.r";"rse5.r";"rse6.r";"rse8.r";"rse9.r";"stadi3.r";"stadi7.r";"stadi11.r";"stadi15.r";"stadi19.r";"apq40.r";"depression";"angst";"selbstwert";"strafen";"negative_affect";"negative_affect_z";"selbstwert_z"
"456";2166;"Männlich";1;2;3;1;1;2;3;1;1;2;3;1;1;1;3;1;1;2;3;1;4;1;4;4;2;1;4;2;1;4;1;1;1;4;5;4;5;4;5;2;2;2;2;2;2;1,5;1,4;4,1;1,25;2,9;-1,25165577940438;0,628864213496472
"457";2167;"Weiblich";3;4;2;2;3;3;3;3;2;4;2;2;2;4;3;1;1;4;2;2;4;5;4;4;4;4;4;5;4;3;1;1;1;5;1;2;2;1;2;3;2;3;2;3;1;2,3;3;3,1;1;5,3;1,0431812863429;-0,969113995388227
"458";2169;"Männlich";4;3;3;2;4;3;4;3;3;2;4;2;4;2;4;2;4;1;2;3;3;2;4;5;3;4;3;3;5;2;3;4;2;4;4;3;2;3;1;2;1;1;1;3;2;2;3;3;2,75;5;0,756326653124492;-1,1289118162767
"459";2171;"Männlich";2;3;3;2;3;2;3;3;2;3;2;2;2;2;2;3;2;3;2;2;3;4;3;3;3;4;2;3;3;3;1;1;1;4;2;3;2;3;3;2;2;3;3;3;2;2,5;2,4;2,7;1,25;4,9;0,660708442051689;-1,60830527894211
"460";2172;"Weiblich";3;3;2;2;3;2;2;2;3;2;2;2;3;2;3;2;3;3;2;2;3;3;3;4;2;2;4;3;2;4;3;3;3;4;3;4;4;3;4;3;3;3;2;3;2;2,4;2,7;3,6;2,75;5,1;0,851944864197295;-0,170124890945877
"461";2173;"Weiblich";3;2;4;2;2;1;4;1;3;2;4;1;2;2;4;1;2;2;4;2;5;4;5;4;1;3;5;2;1;5;1;1;1;5;2;5;3;4;5;1;1;1;1;1;1;1,2;2,1;4,1;1;3,3;-0,869182935113164;0,628864213496472
"462";2174;"Weiblich";3;3;2;2;2;2;2;2;2;2;2;2;2;2;3;2;3;3;2;2;3;4;4;4;2;2;3;4;3;3;1;1;2;5;2;4;4;2;3;3;3;3;2;3;1;2,4;2,4;3,4;1,25;4,8;0,565090230978886;-0,489720532722817
"463";2175;"Weiblich";1;1;3;1;1;2;3;1;2;2;3;3;1;1;3;1;1;2;3;1;4;1;4;3;1;1;4;1;1;4;1;1;1;5;5;5;5;5;5;2;2;2;2;2;1;1,7;1,4;4;1;3,1;-1,06041935725877;0,469066392608003
"464";2176;"Weiblich";3;4;2;2;2;2;2;2;2;3;2;2;2;2;2;2;2;4;2;2;3;2;5;5;2;2;5;2;1;5;2;2;5;5;4;4;4;4;5;3;3;3;3;3;1;2,5;2,6;4,2;2,5;5,1;0,851944864197295;0,788662034384943
"465";2177;"Männlich";1;2;2;1;1;1;2;1;1;1;2;1;1;1;3;1;1;1;3;1;5;1;5;5;1;1;5;1;1;5;1;1;1;1;5;5;5;5;5;3;3;3;2;2;5;1,8;1,1;4,6;2;2,9;-1,25165577940438;1,42785331793882
