"";"full_id";"gender";"stadi1";"stadi5";"stadi9";"stadi13";"stadi17";"aqf1";"aqf2";"aqf3";"aqf4";"aqf5";"aqf6";"aqf7";"aqf8";"apq26";"apq28";"apq35";"apq40";"apq40.r";"emotionality";"hostility";"punishment";"emotionality_z";"hostility_z"
"292";1304;"Weiblich";2;2;2;2;2;2;4;1;2;2;2;2;1;1;1;1;4;2;"2";"2";"1.25";-0,239447143904715;-0,24382345885081
"293";1305;"Männlich";2;2;1;2;2;2;2;1;1;2;1;1;1;3;1;3;3;3;"1.8";"1.375";"2.5";-0,57705438768639;-1,22968376235249
"294";1306;"Weiblich";3;3;2;3;2;2;3;3;2;3;3;4;1;1;1;1;5;1;"2.6";"2.625";"1";0,77337458744031;0,742036844650865
"295";1307;"Männlich";2;3;3;3;3;2;3;3;2;3;3;3;3;3;4;5;3;3;"2.8";"2.75";"3.75";1,11098183122199;0,9392089053512
"296";1308;"Weiblich";2;2;1;1;1;2;2;1;2;1;2;1;3;2;2;1;3;3;"1.4";"1.75";"2";-1,25226887524974;-0,638167580251481
"297";1309;"Weiblich";3;2;2;1;1;2;1;1;1;1;1;1;1;1;1;1;5;1;"1.8";"1.125";"1";-0,57705438768639;-1,62402788375316
"298";1310;"Männlich";2;2;2;2;2;2;3;2;2;2;3;2;2;2;1;2;3;3;"2";"2.25";"2";-0,239447143904715;0,15052066254986
"299";1311;"Weiblich";2;2;2;2;3;1;3;4;3;2;3;3;2;1;3;4;3;3;"2.2";"2.625";"2.75";0,0981600998769604;0,742036844650865
"300";1312;"Weiblich";2;2;1;1;1;1;4;4;1;2;1;1;1;2;2;2;5;1;"1.4";"1.875";"1.75";-1,25226887524974;-0,440995519551146
"301";2001;"Weiblich";2;2;2;2;2;2;3;1;2;1;2;2;1;1;1;2;4;2;"2";"1.75";"1.5";-0,239447143904715;-0,638167580251481
"302";2002;"Männlich";2;3;2;3;2;1;1;1;2;1;1;1;1;1;1;1;1;5;"2.4";"1.125";"2";0,435767343658635;-1,62402788375316
"303";2003;"Männlich";2;1;2;1;1;2;2;1;2;3;2;2;1;2;1;3;4;2;"1.4";"1.875";"2";-1,25226887524974;-0,440995519551146
"304";2004;"Männlich";3;3;3;3;3;1;3;4;1;4;2;4;2;1;1;1;1;5;"3";"2.625";"2";1,44858907500366;0,742036844650865
"305";2005;"Weiblich";2;2;2;2;2;2;4;2;4;2;3;3;1;1;1;1;4;2;"2";"2.625";"1.25";-0,239447143904715;0,742036844650865
"306";2006;"Männlich";1;1;1;2;1;1;2;2;1;1;2;2;1;1;1;1;5;1;"1.2";"1.5";"1";-1,58987611903142;-1,03251170165215
"307";2007;"Männlich";2;3;3;1;3;3;3;3;4;4;1;4;1;1;NA;1;5;1;"2.4";"2.875";"1";0,435767343658635;1,13638096605154
"308";2008;"Männlich";2;2;2;1;1;1;3;3;2;4;1;4;3;1;2;2;4;2;"1.6";"2.625";"1.75";-0,914661631468065;0,742036844650865
"309";2009;"Weiblich";2;1;1;1;1;2;3;3;1;1;2;4;3;1;1;1;5;1;"1.2";"2.375";"1";-1,58987611903142;0,347692723250195
"310";2010;"Männlich";3;3;2;2;2;2;1;3;2;3;2;3;2;1;1;2;4;2;"2.4";"2.25";"1.5";0,435767343658635;0,15052066254986
"311";2011;"Männlich";1;1;2;1;1;2;2;1;3;3;2;2;2;2;2;4;4;2;"1.2";"2.125";"2.5";-1,58987611903142;-0,0466513981504753
"312";2012;"Männlich";2;2;1;2;1;1;2;2;1;4;3;3;1;1;1;1;4;2;"1.6";"2.125";"1.25";-0,914661631468065;-0,0466513981504753
"313";2013;"Männlich";2;2;3;1;2;1;3;2;2;2;2;3;2;1;1;1;5;1;"2";"2.125";"1";-0,239447143904715;-0,0466513981504753
"314";2014;"Männlich";3;1;1;1;1;1;2;2;3;1;3;1;2;1;1;2;3;3;"1.4";"1.875";"1.75";-1,25226887524974;-0,440995519551146
"315";2015;"Männlich";2;3;2;3;2;2;3;3;2;2;3;2;3;4;3;4;4;2;"2.4";"2.5";"3.25";0,435767343658635;0,54486478395053
"316";2016;"";2;2;2;2;2;1;3;2;2;4;3;3;2;1;1;1;5;1;"2";"2.5";"1";-0,239447143904715;0,54486478395053
"317";2018;"Weiblich";2;2;2;3;2;1;3;3;2;3;3;3;3;1;1;3;1;5;"2.2";"2.625";"2.5";0,0981600998769604;0,742036844650865
"318";2019;"Weiblich";3;2;3;2;3;2;1;1;1;1;3;2;2;1;2;3;2;4;"2.6";"1.625";"2.5";0,77337458744031;-0,835339640951816
"319";2020;"Männlich";3;3;2;2;3;3;2;2;2;2;3;3;2;2;3;4;2;4;"2.6";"2.375";"3.25";0,77337458744031;0,347692723250195
"320";2021;"Weiblich";3;3;2;3;3;2;3;2;3;2;3;3;2;3;2;3;3;3;"2.8";"2.5";"2.75";1,11098183122199;0,54486478395053
"321";2022;"Weiblich";2;3;1;2;2;2;2;3;1;2;3;2;1;1;1;1;5;1;"2";"2";"1";-0,239447143904715;-0,24382345885081
"322";2023;"Männlich";2;2;2;3;2;3;2;2;3;1;3;4;3;3;2;3;4;2;"2.2";"2.625";"2.5";0,0981600998769604;0,742036844650865
"323";2024;"Männlich";3;4;1;2;1;4;3;4;3;4;3;4;3;4;4;5;4;2;"2.2";"3.5";"3.75";0,0981600998769604;2,12224126955321
"324";2026;"Weiblich";2;1;1;1;1;1;2;2;2;2;1;2;1;1;1;1;5;1;"1.2";"1.625";"1";-1,58987611903142;-0,835339640951816
"325";2028;"";2;2;1;3;1;2;3;2;3;2;2;2;1;2;1;3;5;1;"1.8";"2.125";"1.75";-0,57705438768639;-0,0466513981504753
"326";2029;"Weiblich";2;2;2;1;1;1;2;2;1;1;1;1;1;1;1;3;5;1;"1.6";"1.25";"1.5";-0,914661631468065;-1,42685582305282
"327";2030;"Männlich";2;4;2;4;2;2;1;2;3;4;3;4;4;3;2;5;4;2;"2.8";"2.875";"3";1,11098183122199;1,13638096605154
"328";2031;"Weiblich";2;3;2;3;2;3;2;2;1;3;2;1;1;1;1;1;5;1;"2.4";"1.875";"1";0,435767343658635;-0,440995519551146
"329";2032;"Männlich";2;2;2;1;2;1;1;2;1;1;1;1;2;1;1;1;4;2;"1.8";"1.25";"1.25";-0,57705438768639;-1,42685582305282
"330";2034;"Weiblich";3;2;2;2;3;3;4;3;3;2;3;3;3;3;4;3;3;3;"2.4";"3";"3.25";0,435767343658635;1,33355302675187
